category,symbol_name,name_cn,unicode,module,usage
系统UI,sys.symbol.full_screen_fill,全屏预览,F054A,图库,全屏模式
系统UI,sys.symbol.gearshape,设置,F0020,相机,设置入口
系统UI,sys.symbol.hand_point_up_tap_fill,点击,F0484,智慧生活,点击操作
系统UI,sys.symbol.hand_point_up_tap_fill_1,触摸轨迹,F0522,截录屏,显示触摸
系统UI,sys.symbol.hand_point_up_tap_fill_slash,关闭触摸,F0671,截录屏,隐藏触摸
系统UI,sys.symbol.hand_tap,触摸屏,F048A,DFS,触摸检测
系统UI,sys.symbol.hand_thumbsup_fill,赞,F05D7,输入法,点赞
系统UI,sys.symbol.heart,取消收藏,F0025,图库,取消收藏
系统UI,sys.symbol.heart_fill,收藏,F0021,图库,添加收藏
系统UI,sys.symbol.heart_slash,不喜欢,F0024,华为音乐,不喜欢
系统UI,sys.symbol.house,首页,F0027,主题,首页入口
系统UI,sys.symbol.house_fill,首页选中,F0026,华为音乐,首页选中态
系统UI,sys.symbol.label,标注,F0208,图库,添加标注
系统UI,sys.symbol.line_viewfinder,扫一扫,F0028,锁屏AOD,扫码入口
系统UI,sys.symbol.lock,锁定,F0008,输入法,锁定状态
系统UI,sys.symbol.lock_fill,锁,F04C1,图库,锁定
系统UI,sys.symbol.lock_filled_arrow_counterclockwise,旋转锁定,F057C,控制中心,屏幕旋转锁定
系统UI,sys.symbol.lock_open,解锁,F04C4,输入法,解锁状态
系统UI,sys.symbol.lock_open_fill,已解锁,F04C3,图库,解锁完成
系统UI,sys.symbol.magnifyingglass,搜索,F0029,全搜,搜索入口
系统UI,sys.symbol.mic,语音,F0006,全搜,语音输入
系统UI,sys.symbol.mic_fill,话筒,F0315,状态栏,麦克风
系统UI,sys.symbol.minus,减少,F002C,相机,减少数值
系统UI,sys.symbol.minus_circle,移除,F002B,图库,移除项目
系统UI,sys.symbol.minus_magnifyingglass,缩小,F0680,设置,缩小视图
系统UI,sys.symbol.moon_circle_fill,望月模式开,F056E,相机,望月模式
系统UI,sys.symbol.moon_fill,免打扰,F002D,状态栏,勿扰模式
系统UI,sys.symbol.moon_slash_circle,望月模式关,F056F,相机,关闭望月
系统UI,sys.symbol.more,更多,F0570,备忘录,更多操作
系统UI,sys.symbol.nfc,NFC,F04D7,DFS,NFC功能
系统UI,sys.symbol.nfc_fill,NFC填充,F04D6,状态栏,NFC开启
系统UI,sys.symbol.paperplane,发送,F0030,电子邮件,发送邮件
系统UI,sys.symbol.paperplane_right_fill,发送,F08A8,输入法,发送消息
系统UI,sys.symbol.pin,取消常驻,F0032,小艺建议,取消置顶
系统UI,sys.symbol.pin_fill_1,设为常驻,F08AB,小艺建议,置顶
系统UI,sys.symbol.plus,添加,F0035,相机,添加/增加
系统UI,sys.symbol.plus_magnifyingglass,放大,F0127,设置,放大视图
系统UI,sys.symbol.plus_square,定制工具栏,F08C3,输入法,自定义
系统UI,sys.symbol.plus_square_on_square_fill,复印,F006D,打印和扫描,复印功能
系统UI,sys.symbol.power,电源,F0036,DFS,开关机
系统UI,sys.symbol.qrcode,二维码,F0128,图库,二维码
系统UI,sys.symbol.rays,重启,F0037,DFS,重启设备
系统UI,sys.symbol.rectangle_and_arrowshape_turn_up_right,转发,F00D5,邮件,转发
系统UI,sys.symbol.rectangle_portrait_rotate,重力感应,F0038,DFS,屏幕旋转
系统UI,sys.symbol.rectangle_rotate,切换模式,F08AD,教育中心,模式切换
系统UI,sys.symbol.redo,重做,F01F4,图库,重做操作
系统UI,sys.symbol.save,保存,F003B,图库,保存文件
系统UI,sys.symbol.share,分享,F003D,备忘录,分享内容
系统UI,sys.symbol.slider_horizontal_2,控制中心,F0072,桌面,控制面板
系统UI,sys.symbol.slider_vertical_3,呼吸节奏,F012A,APP,调节器
系统UI,sys.symbol.speaker,音量,F0044,华为音乐,音量控制
系统UI,sys.symbol.speaker_slash,静音,F0043,相机,拍摄静音
系统UI,sys.symbol.speaker_wave_3,扬声器,F004A,DFS,扬声器
系统UI,sys.symbol.speaker_wave_3_slash,关闭声音,F058F,图库,静音播放
系统UI,sys.symbol.square_fill_grid_2x2,分类相册,F004B,图库,网格视图
系统UI,sys.symbol.square_grid_2x2,应用,F00E3,DFS,应用列表
系统UI,sys.symbol.star,星标,F004E,应用市场,收藏/评分
系统UI,sys.symbol.star_fill,已收藏,F0009,备忘录,收藏选中
系统UI,sys.symbol.sun_max,曝光,F0050,相机,曝光调节
系统UI,sys.symbol.sun_max_fill,亮色主题,F004F,华为阅读,亮色模式
系统UI,sys.symbol.sun_min,浅色,F0051,华为阅读,浅色模式
系统UI,sys.symbol.trash,删除,F0001,全搜,删除操作
系统UI,sys.symbol.trash_fill,删除相册,F0052,图库,删除选中
系统UI,sys.symbol.undo,撤销,F01F3,图库,撤销操作
系统UI,sys.symbol.wifi,WLAN,F0000,DFS,WiFi连接
系统UI,sys.symbol.wifi_slash,WLAN关闭,F0691,桌面,WiFi关闭
系统UI,sys.symbol.xmark,关闭,F0056,图库,关闭/退出
系统UI,sys.symbol.xmark_circle,关闭圆形,F0055,输入法,清除
系统UI,sys.symbol.xmark_circle_fill,取消,F0054,图库,取消操作
时间,sys.symbol.alarm_fill_1,闹钟,F05EF,时钟,闹钟提醒
时间,sys.symbol.calendar,日历,F03DA,应用市场,日历入口
时间,sys.symbol.calendar_badge_clock,预约,F03D8,应用市场,预约功能
时间,sys.symbol.calendar_fill,日历填充,F03D9,日历,新建日程
时间,sys.symbol.clock,时钟,F03DD,相机,时长显示
时间,sys.symbol.clock_fill,时钟填充,F03DC,APP,运动时间
时间,sys.symbol.stopwatch_2,秒表,F05F0,时钟,秒表功能
时间,sys.symbol.timer,定时器,F0406,相机,定时拍摄
时间,sys.symbol.timer_circle_fill,计时器,F05F6,时钟,计时功能
时间,sys.symbol.worldclock,世界时钟,F040A,输入法,语言切换
时间,sys.symbol.worldclock_fill,世界时钟填充,F0409,通信社交,时区显示
时间,sys.symbol.worldclock_fill_2,世界时钟2,F05F1,时钟,世界时钟
箭头,sys.symbol.arrow_down_circle,下载,F089D,华为音乐,下载按钮
箭头,sys.symbol.arrow_left,左箭头,F00CA,邮件,返回
箭头,sys.symbol.arrow_left_circle,返回圆形,F069F,智慧屏,返回按钮
箭头,sys.symbol.arrow_right,右箭头,F0231,截录屏,前进
箭头,sys.symbol.arrow_right_circle,迁移,F06A0,数据克隆,数据迁移
箭头,sys.symbol.arrow_up_circle,更新,F00CC,应用市场,检查更新
箭头,sys.symbol.arrow_up_circle_fill,发送,F0232,通信社交,发送消息
箭头,sys.symbol.arrow_up_left,搜索填充,F0233,浏览器,快捷搜索
箭头,sys.symbol.arrow_up_to_line,回到顶部,F00CF,邮件,一键回顶
箭头,sys.symbol.arrowshape_3_triangle_path,节能,F04F5,智慧助手,节能模式
箭头,sys.symbol.arrowshape_down_to_line_fill,下载量,F00D0,应用市场,下载统计
箭头,sys.symbol.arrowshape_up,翻译输入,F023D,输入法,翻译功能
箭头,sys.symbol.arrowshape_up_fill,拍摄输入,F0239,输入法,拍照输入
箭头,sys.symbol.arrowshape_up_frame_fill,换肤,F023A,输入法,主题切换
箭头,sys.symbol.arrowshape_up_left_and_arrowshape_down_right,最大化,F07EE,智慧多窗,窗口最大化
箭头,sys.symbol.arrowshape_up_to_line_fill,置顶,F0010,全搜,置顶操作
箭头,sys.symbol.arrowtriangle_down_fill,下拉,F023F,全搜,下拉列表
箭头,sys.symbol.arrowtriangle_up_fill,收起,F0240,全搜,收起列表
箭头,sys.symbol.chevron_down,向下,F00DB,图库,展开
箭头,sys.symbol.chevron_down_2_circle,下一页,F06C0,预览,翻页
箭头,sys.symbol.chevron_down_circle,下键,F06C1,智慧屏,向下导航
箭头,sys.symbol.chevron_left,返回,F00DA,图库,返回上一级
箭头,sys.symbol.chevron_left_2,滑动进入,F06C2,华为阅读,引导提示
箭头,sys.symbol.chevron_left_circle,左键,F06C3,智慧屏,向左导航
箭头,sys.symbol.chevron_right,下一步,F00D9,图库,进入下一级
箭头,sys.symbol.chevron_right_circle,右键,F06C4,智慧屏,向右导航
箭头,sys.symbol.chevron_up,向上,F00D8,图库,收起
箭头,sys.symbol.chevron_up_2,上滑更多,F06C6,浏览器,上滑提示
箭头,sys.symbol.chevron_up_2_circle,上一页,F06C5,预览,翻页
箭头,sys.symbol.chevron_up_circle,上键,F045F,智慧屏,向上导航
箭头,sys.symbol.line_below_arrowtriangle_up_circle_fill,移除设备,F0416,文管,弹出设备
箭头,sys.symbol.line_below_arrowtriangle_up_fill,移除,F0417,文管,移除设备
箭头,sys.symbol.transfer_station,中转站,F0788,中转站,数据中转
相机与照片,sys.symbol.arrow_down_and_rectangle_on_rectangle,移出相册,F041D,图库,移出相册
相机与照片,sys.symbol.arrow_up_and_rectangle_on_rectangle,移入相册,F0420,图库,移入相册
相机与照片,sys.symbol.camera,相机,F045B,SDK,拍照入口
相机与照片,sys.symbol.camera_fill,相机填充,F0438,图库,拍照按钮
相机与照片,sys.symbol.camera_filters_fill,滤镜,F082C,绘画,选择滤镜
相机与照片,sys.symbol.capture_smiles,笑脸抓拍,F05C8,相机,笑脸捕捉
相机与照片,sys.symbol.circle_lefthalf_inset_filled,黑白,F005C,图库,黑白滤镜
相机与照片,sys.symbol.circle_righthalf_inset_filled,饱和度,F005D,图库,饱和度调节
相机与照片,sys.symbol.dot_video_fill,录屏,F0082,控制中心,屏幕录制
相机与照片,sys.symbol.drop,虚化,F0063,图库,背景虚化
相机与照片,sys.symbol.drop_bottomrighthalf_inset_filled,自然饱和度,F0136,图库,自然饱和度
相机与照片,sys.symbol.flower,微距,F0284,相机,超级微距
相机与照片,sys.symbol.hand_draw,智选消除,F0066,图库,AI消除
相机与照片,sys.symbol.heart_square_stack_fill,时刻,F0514,图库,精彩时刻
相机与照片,sys.symbol.lightbulb,柔光灯开,F029C,相机,补光灯
相机与照片,sys.symbol.lightbulb_slash,柔光灯关,F029A,相机,关闭补光
相机与照片,sys.symbol.line_arrowtriangle_2_inward,自拍镜像,F0068,相机,镜像翻转
相机与照片,sys.symbol.livephoto,动态照片,F05F7,图库,Live Photo
相机与照片,sys.symbol.movie_fill,观影,F04D2,智慧生活,电影模式
相机与照片,sys.symbol.paintpalette,色调,F0125,图库,色调调节
相机与照片,sys.symbol.picture,图片,F0003,图库,图片查看
相机与照片,sys.symbol.picture_2,从图库选择,F04E5,备忘录,选择图片
相机与照片,sys.symbol.picture_damage,图片损坏,F04E9,DFS,图片检测
相机与照片,sys.symbol.picture_fill,图片填充,F04EA,图库,图片选中
相机与照片,sys.symbol.play_video,微电影,F04EE,相机,视频模式
相机与照片,sys.symbol.play_video_fill,脚本,F08AC,输入法,视频脚本
相机与照片,sys.symbol.puzzle,拼图,F04A0,图库,图片拼接
相机与照片,sys.symbol.puzzle_fill,拼图填充,F04B5,图库,拼图选中
相机与照片,sys.symbol.rectangle_on_rectangle,相册,F04A2,图库,相册入口
相机与照片,sys.symbol.rectangle_on_rectangle_fill,相册填充,F04A1,图库,相册选中
相机与照片,sys.symbol.resolution_video,视频分辨率,F04A3,相机,分辨率设置
相机与照片,sys.symbol.scope,目标追踪,F04A6,相机,追踪对焦
相机与照片,sys.symbol.scope_slash,关闭追踪,F04A5,相机,关闭追踪
相机与照片,sys.symbol.shutter_photo,快门,F04AF,相机,图库入口
相机与照片,sys.symbol.square_slash,无边框,F04B4,图库,无边框模式
相机与照片,sys.symbol.template,热剧,F04FF,华为视频,热门内容
相机与照片,sys.symbol.template_fill,视频,F04FE,天际通,视频分类
相机与照片,sys.symbol.video_fill,视频,F00A3,图库,视频文件
相机与照片,sys.symbol.video_slasj_fill,关闭摄像头,F0841,通信社交,关闭视频
相机与照片,sys.symbol.xmark_picture,智能无图开,F0842,浏览器,无图模式
相机与照片,sys.symbol.xmark_picture_fill,智能无图关,F0821,浏览器,恢复图片
办公文件,sys.symbol.arrow_right_folder_circle,移至文件夹,F00BA,邮件,移动文件
办公文件,sys.symbol.arrow_right_folder_fill,移至,F00BB,邮件,移动到
办公文件,sys.symbol.book_open_fill,书城,F07C9,华为阅读,书店入口
办公文件,sys.symbol.book_pages_fill_1,小说,F08BF,浏览器,小说阅读
办公文件,sys.symbol.briefcase,工具箱,F065F,浏览器,工具入口
办公文件,sys.symbol.case_fill,保险理财,F0660,通信社交,金融服务
办公文件,sys.symbol.checkmark_clipboard_fill,开发,F018A,应用市场,开发者
办公文件,sys.symbol.doc,草稿,F00BD,邮件,草稿箱
办公文件,sys.symbol.doc_plaintext,笔记,F00C1,备忘录,文本笔记
办公文件,sys.symbol.doc_plaintext_and_pencil,问题建议,F05AF,教育中心,反馈
办公文件,sys.symbol.doc_plaintext_and_pencil_fill,写作业,F0669,教育中心,作业
办公文件,sys.symbol.doc_plaintext_fill,备忘录,F00C2,锁屏AOD,备忘录入口
办公文件,sys.symbol.doc_text,日志,F00BC,DFS,系统日志
办公文件,sys.symbol.doc_text_badge_arrow_up,上报征信,F05B1,钱包,征信报告
办公文件,sys.symbol.doc_text_badge_checkmark,已完成,F00C4,备忘录,任务完成
办公文件,sys.symbol.doc_text_badge_magnifyingglass,页内查找,F05B3,浏览器,搜索页面
办公文件,sys.symbol.doc_text_fill,文件,F00BF,全搜,文件类型
办公文件,sys.symbol.folder,文件夹,F00C5,应用市场,存储位置
办公文件,sys.symbol.folder_badge_eye,显示隐藏,F05BD,文管,显示隐藏文件
办公文件,sys.symbol.folder_badge_plus,新建文件夹,F0004,笔记,创建文件夹
办公文件,sys.symbol.folder_fill,文件夹填充,F00C6,应用市场,工作文件夹
办公文件,sys.symbol.form,表格,F0194,备忘录,表格视图
办公文件,sys.symbol.grid,网格,F0670,绘画,网格线
办公文件,sys.symbol.list_square_bill,服务协议,F05BF,华为视频,条款
办公文件,sys.symbol.paperclip,附件,F010F,备忘录,添加附件
办公文件,sys.symbol.text_clipboard,剪贴板,F019D,隐私和安全,剪贴板设置
键盘,sys.symbol.asterisk_rectangle_badge_handwritten,手写,F02EE,输入法,手写输入
键盘,sys.symbol.celiakeyboard_elevate,键盘抬高,F0492,输入法,键盘高度
键盘,sys.symbol.celiakeyboard_mechanical,机械键盘,F02F2,输入法,键盘样式
键盘,sys.symbol.celiakeyboard_menu_icon_size,编辑键盘,F02F3,输入法,键盘设置
键盘,sys.symbol.delete_left,删除,F00DD,通信社交,退格删除
键盘,sys.symbol.delete_left_fill,删除填充,F0541,通信社交,删除字符
键盘,sys.symbol.input_mode,输入方式,F0494,输入法,切换输入法
键盘,sys.symbol.keyboard_badge_bihua,笔画,F0302,输入法,笔画输入
键盘,sys.symbol.keyboard_badge_cangjie,仓颉,F0303,输入法,仓颉输入
键盘,sys.symbol.keyboard_badge_handwritten,键盘手写,F0306,输入法,手写键盘
键盘,sys.symbol.keyboard_badge_spell,拼音,F0307,输入法,拼音输入
键盘,sys.symbol.keyboard_badge_wubi,五笔,F0308,输入法,五笔输入
键盘,sys.symbol.keyboard_badge_zhuyin,注音,F0309,输入法,注音输入
键盘,sys.symbol.keyboard_circle,键盘,F0172,通信社交,切换键盘
键盘,sys.symbol.keyboard_onehanded_left,右手模式,F030C,输入法,单手右
键盘,sys.symbol.keyboard_onehanded_right,左手模式,F030D,输入法,单手左
键盘,sys.symbol.keyboard_square,悬浮键盘,F030E,输入法,悬浮模式
键盘,sys.symbol.keyboard_thumbmode,拇指模式,F030F,输入法,拇指键盘
键盘,sys.symbol.onehand,单手模式,F0318,输入法,单手操作
键盘,sys.symbol.selector,光标移动,F031B,输入法,移动光标
键盘,sys.symbol.space_1,空格,F031C,输入法,空格键
键盘,sys.symbol.swipeup_input,上滑输入,F031E,输入法,滑动输入
键盘,sys.symbol.traditional_square,繁体输入,F0322,输入法,繁体中文
键盘,sys.symbol.translate,翻译,F007E,hivison/hitouch,全屏翻译
键盘,sys.symbol.translate_c2e,中译英,F0323,邮件,中英翻译
键盘,sys.symbol.translate_e2c,英译中,F0324,邮件,英中翻译
媒体,sys.symbol.backward_end_fill,上一首,F00A6,播控,上一曲
媒体,sys.symbol.discover_fill,发现,F01DB,智慧生活,探索发现
媒体,sys.symbol.fast_forward,快进,F066B,华为视频,倍速播放
媒体,sys.symbol.forward_end_fill,下一首,F00A7,播控,下一曲
媒体,sys.symbol.gobackward_15,快退15秒,F03F2,播控,快退
媒体,sys.symbol.gobackward_30,快退30秒,F03F3,播控,快退
媒体,sys.symbol.goforward_10,快进10秒,F03F4,播控,快进
媒体,sys.symbol.goforward_15,快进15秒,F03F5,播控,快进
媒体,sys.symbol.goforward_30,快进30秒,F03F6,播控,快进
媒体,sys.symbol.headphones_fill,耳机,F0672,状态栏,耳机连接
媒体,sys.symbol.identify_song,听歌识曲,F033B,华为音乐,识别歌曲
媒体,sys.symbol.list_interrupt,节奏,F033C,华为音乐,节奏模式
媒体,sys.symbol.media_center,播控中心,F067C,全场景协同,媒体控制
媒体,sys.symbol.music,音乐,F00AD,相机,背景音乐
媒体,sys.symbol.music_fill,音乐填充,F00AA,智慧生活,音乐入口
媒体,sys.symbol.music_note_list,播放队列,F00AC,华为音乐,播放列表
媒体,sys.symbol.order_play,顺序播放,F00AE,华为音乐,顺序模式
媒体,sys.symbol.pause,暂停,F00B1,播控,暂停播放
媒体,sys.symbol.pause_round_triangle_fill,暂停,F086B,华为音乐,暂停按钮
媒体,sys.symbol.play_circle_fill,播放圆形,F00B2,图库,播放按钮
媒体,sys.symbol.play_fill,播放,F00B4,播控,开始播放
媒体,sys.symbol.play_hexagon_fill,视频六边形,F0813,浏览器,视频播放
媒体,sys.symbol.play_round_rectangle_fill,短视频,F0814,华为视频,短视频
媒体,sys.symbol.record_circle,录制,F00B7,通信社交,语音录制
媒体,sys.symbol.remove_songlist,从列表移除,F0363,华为音乐,移除歌曲
媒体,sys.symbol.repeat,循环播放,F00B8,图库,列表循环
媒体,sys.symbol.repeat_1,单曲循环,F00B9,华为音乐,单曲循环
媒体,sys.symbol.reverse_order,切换位置,F03FD,智慧多窗,分屏切换
媒体,sys.symbol.service,客服,F0365,钱包,联系客服
媒体,sys.symbol.shuffle,随机播放,F00B5,华为音乐,随机模式
媒体,sys.symbol.skip_silence,跳过静音,F03BB,录音机,跳过空白
通信,sys.symbol.beidou_satellite_circle_fill,北斗卫星,F0516,通信社交,卫星通信
通信,sys.symbol.beidou_satellite_fill,北斗消息,F06AD,通信社交,卫星消息
通信,sys.symbol.dial,拨号盘,F0081,通信社交,拨号界面
通信,sys.symbol.ellipsis_bubble,评论,F0473,主题,评论入口
通信,sys.symbol.ellipsis_message,系统消息,F0085,应用市场,通知消息
通信,sys.symbol.ellipsis_message_fill,消息,F0084,通信社交,消息入口
通信,sys.symbol.envelope,信封,F0088,应用市场,邮件入口
通信,sys.symbol.envelope_fill,信封填充,F0089,邮件,邮件图标
通信,sys.symbol.envelope_open_fill,已读,F008A,邮件,标记已读
通信,sys.symbol.hd_square_fill,HD,F028A,通信社交,高清通话
通信,sys.symbol.message,短信,F008F,应用市场,短信入口
通信,sys.symbol.message_badge_gearshape_1,消息管理,F0756,智慧生活,消息设置
通信,sys.symbol.message_on_message,畅连消息,F008E,通信社交,聊天
通信,sys.symbol.message_on_message_fill,消息tab,F008D,通信社交,消息选中
通信,sys.symbol.mic_circle,语音圆形,F0314,智慧屏,语音按钮
通信,sys.symbol.mic_slash,麦克风静音,F0758,通信社交,关闭麦克风
通信,sys.symbol.mic_slash_fill,麦克风静音填充,F0317,通信社交,静音状态
通信,sys.symbol.phone_down_fill,挂断,F009F,通信社交,挂断电话
通信,sys.symbol.phone_fill,电话,F009E,音量条,通话中
通信,sys.symbol.recordingtape,语音信箱,F0176,通信社交,语音留言
通信,sys.symbol.recordingtape_rectangle,语音信箱方形,F0175,通信社交,留言箱
通信,sys.symbol.recordingtape_rectangle_fill,语音信箱填充,F0174,通信社交,留言选中
通信,sys.symbol.satellite,天通卫星,F0177,通信社交,卫星电话
连接,sys.symbol.dot_radiowaves_left_and_right,分享,F0279,全场景协同,无线分享
连接,sys.symbol.hotspot,热点,F028F,设置,智能热点
连接,sys.symbol.icloud,云,F0294,图库,云同步开
连接,sys.symbol.icloud_slash,云关闭,F0293,图库,云同步关
连接,sys.symbol.icloud_slash_fill,云关闭填充,F0292,图库,云关闭状态
连接,sys.symbol.link_slash,断开连接,F02A0,打印和扫描,断开链接
连接,sys.symbol.mobiledata,移动数据,F02A9,DFS,蜂窝网络
符号标识,sys.symbol.bolt,闪电,F0262,钱包,电费缴纳
符号标识,sys.symbol.bolt_filled_on_circle,功率,F025F,APP,功率显示
符号标识,sys.symbol.bolt_shield_fill,应急预警,F07F1,通信社交,紧急通知
符号标识,sys.symbol.exclamationmark,感叹号,F010B,备忘录,重要提示
符号标识,sys.symbol.exclamationmark_circle,异常,F0109,全搜,错误提示
符号标识,sys.symbol.exclamationmark_shield_fill,安全警告,F0477,浏览器,恶意拦截
符号标识,sys.symbol.exclamationmark_triangle_fill,警示三角,F06D7,通信社交,警告信息
符号标识,sys.symbol.info_circle,信息,F0296,相机,详情信息
符号标识,sys.symbol.info_shield,隐私声明,F0297,图库,隐私信息
符号标识,sys.symbol.nosign,禁止,F010E,相机,禁用状态
符号标识,sys.symbol.questionmark_circle,帮助,F0100,应用市场,帮助中心
编辑,sys.symbol.calculator_1,计算器,F085F,锁屏AOD,计算器入口
编辑,sys.symbol.character_arrow_clockwise,自动优化,F01D6,图库,AI优化
编辑,sys.symbol.character_viewfinder,文字识别,F01D8,图库,OCR识别
编辑,sys.symbol.circle_dashed,套索,F0134,笔记,套索选择
编辑,sys.symbol.close_sidebar,关闭侧边栏,F089F,备忘录,收起面板
编辑,sys.symbol.crop_rotate,裁剪,F0161,图库,裁剪旋转
编辑,sys.symbol.cut,剪切,F005F,图库,截取片段
编辑,sys.symbol.eraser_line,橡皮擦,F0065,笔记,擦除工具
编辑,sys.symbol.indent_right,右缩进,F0163,备忘录,增加缩进
编辑,sys.symbol.indentation_left,左缩进,F0164,备忘录,减少缩进
编辑,sys.symbol.list_bullet,项目符号,F0069,备忘录,无序列表
编辑,sys.symbol.list_bullet_circle,菜单,F0166,通信社交,更多菜单
编辑,sys.symbol.list_bullet_square_fill,属性,F0167,绘画,属性面板
编辑,sys.symbol.list_checkmask,列表编辑,F0142,华为音乐,编辑列表
编辑,sys.symbol.list_letter,字母列表,F0144,备忘录,字母编号
编辑,sys.symbol.list_number,数字列表,F0143,备忘录,数字编号
编辑,sys.symbol.list_square,方形列表,F0145,备忘录,方形符号
编辑,sys.symbol.open_sidebar,打开侧边栏,F08A7,备忘录,展开面板
编辑,sys.symbol.paintbrush,画笔,F07DE,绘画,画笔工具
编辑,sys.symbol.paintbrush_fill,画笔填充,F07DD,绘画,画笔选中
编辑,sys.symbol.paintpalette_fill,颜色,F0124,绘画,调色板
编辑,sys.symbol.pencil_line_1,高亮,F0626,预览,高亮标注
编辑,sys.symbol.pencil_waveform,涂鸦,F006C,通信社交,手绘涂鸦
编辑,sys.symbol.pencil_waveform_fill,涂鸦填充,F0627,通信社交,涂鸦选中
编辑,sys.symbol.rectangle_and_cut,截屏,F006F,图库,截图功能
编辑,sys.symbol.rename,重命名,F0071,通信社交,修改名称
编辑,sys.symbol.sort,排序,F0581,通信社交,排序方式
编辑,sys.symbol.square_and_pencil,编辑,F0073,图库,编辑入口
编辑,sys.symbol.square_and_pencil_fill,编辑填充,F0074,图库,编辑选中
编辑,sys.symbol.swap,交换,F02D1,华为音乐,列表排序
编辑,sys.symbol.text_aligncenter,居中对齐,F0076,备忘录,文本居中
编辑,sys.symbol.text_alignleft,左对齐,F0077,备忘录,文本左对齐
编辑,sys.symbol.text_alignright,右对齐,F0078,备忘录,文本右对齐
编辑,sys.symbol.text_and_arrow_down,倒序,F0079,华为音乐,降序排列
编辑,sys.symbol.text_and_arrow_up,正序,F007A,华为音乐,升序排列
编辑,sys.symbol.textformat_size_square,字体大小,F007C,输入法,调整字号
编辑,sys.symbol.transparency_lock,透明度锁定,F0639,绘画,锁定透明
编辑,sys.symbol.trapezoid_and_line_horizontal,水平校正,F016A,图库,水平调整
编辑,sys.symbol.trapezoid_and_line_vertical,垂直校正,F016B,图库,垂直调整
编辑,sys.symbol.triangleshape_fill,稳定性,F036B,绘画,笔触稳定
编辑,sys.symbol.vertical_flip,垂直翻转,F063B,绘画,上下翻转
隐私安全,sys.symbol.checkmark_shield,安全检测,F045E,应用市场,安全扫描
隐私安全,sys.symbol.checkmark_shield_fill,安全保护,F045D,智慧生活,已保护
隐私安全,sys.symbol.hand_raised_hexagon,拦截规则,F0743,通信社交,拦截设置
