page,name,description,tags,date
11,实现骨骼点识别,Core Vision Kit识别图片人像中的关键骨骼点的AI能力,"AI,基础视觉服务,骨骼点检测",2026-01-06
11,实现多目标识别,Core Vision Kit识别一张图片中的显著性目标物体的AI能力,"AI,基础视觉服务,多目标识别",2026-01-06
11,实现华为分享功能,利用Share Kit实现向目标应用分享数据和应用内的文件分享,"通信互联,华为分享,分享服务,跨应用",2026-01-06
11,实现可信应用服务ArkTS,基于Device Security Kit的可信应用服务提供安全摄像头和安全地理位置功能,"安全相机,安全地理位置,数据安全",2026-01-06
11,基于AR引擎实现空间感知能力C++,调用AR引擎服务接口结合XComponent和OpenGL/EGL将识别到的点云信息平面信息显示在屏幕上,"增强现实,SLAM,平面识别,命中检测",2026-01-06
11,使用Reader Kit进行电子书阅读ArkTS,基于Reader Kit提供的书籍解析排版阅读交互能力实现电子书的阅读功能,"电子书阅读,Reader Kit",2026-01-06
11,基于延迟链接能力跳转应用详情页,集成App Linking Kit延迟链接能力跳转目标应用详情页面,延迟链接,2026-01-06
20,实现文件压缩与解压,使用ohos.file.fs和commons-compress三方库进行zip/gzip/tar/7z格式文件的操作,"文件,压缩,解压缩",2026-01-06
20,基于ArkUI实现内容发布器功能,实现图文内容发布器支持从图库选取图片添加话题联系人图文标题当前位置信息,"富文本,内容发布器",2026-01-06
20,基于Web组件实现预览PDF文件功能,通过Web组件实现预览本地PDF文件和预览网络PDF文件,"PDF,Web,PDF文件预览",2026-01-06
20,基于加解密算法库框架实现ASN.1密文转换,对加密后的密文格式从ASN.1格式转换为c1c3c2格式的裸密文,"密文转换,ASN.1格式,c1c3c2格式",2026-01-06
20,实现自定义证券代码键盘,实现能够一键输入证券代码的自定义键盘支持证券数字键盘与英文键盘之间的切换,"输入法,自定义键盘",2026-01-06
20,基于证书算法库接口实现签名数据校验,使用证书算法库接口校验签名数据确保数据完整性和身份可信,证书算法库框架,2026-01-06
20,基于后台任务实现应用流畅体验,基于后台任务开发服务实现应用后台保活短时模式和长时模式,"后台任务,短时任务,长时任务",2026-01-06
20,基于UIObserver能力的应用埋点,基于UIObserver能力实现常见的埋点行为点击埋点曝光埋点页面埋点,"应用埋点,UIObserver",2026-01-06
20,实现查询应用包信息功能,获取应用包相关信息包括应用图标名称resource资源信息和签名信息,"应用包信息,签名信息",2026-01-06
20,实现复杂参数的跨语言交互功能,复杂数据类型在ArkTS与C++两种语言间的交互能力,Native-API,2026-01-06
30,基于CameraKit通过AVRecorder录像,通过CameraKit自定义相机并通过AVRecorder进行录像,"相机,AVRecorder,录像",2026-01-06
30,实现相机数据采集保存功能,展示相机的预览拍照功能包括变焦对焦等功能,"相机,CameraKit",2026-01-06
30,实现相机数据采集保存功能C++,通过Native侧实现相机的预览拍照录像前后置摄像头切换对焦曝光等控制类功能,"相机,Native",2026-01-06
30,实现国际化功能,展示国际化模块的相关功能使用ohos.i18n接口实现简单日历展示字符类型判断文本断点处理,国际化,2026-01-06
30,实现设备管理功能,展示设备管理相关不需要复杂功能展示的模块的基础功能,设备管理相关特性,2026-01-06
30,实现首选项数据持久化功能,使用ohos.data.preferences接口展示使用首选项持久化存储数据的功能,"首选项,持久化存储",2026-01-06
30,基于Observer实现事件订阅功能,通过ohos.telephony.observer等接口订阅网络状态信号状态蜂窝数据sim状态等事件,"observer,订阅管理",2026-01-06
30,实现上传和下载功能,使用ohos.request接口创建上传和下载任务实现上传下载功能,"上传,下载",2026-01-06
30,实现自定义通知角标功能,展示设定应用的桌面图标角标的功能实现桌面图标的角标展示及通知栏通知数量的展示,通知管理,2026-01-06
30,基于原生组件实现新闻类首页流畅体验,使用原生组件及三方库构建新闻类首页包含tabs切换下拉刷新上拉加载首页feed流等,"LazyForEach,原生组件,三方库",2026-01-06
